location,locationType,state,lat,lon,count
"Las Vegas, Nevada",City,Nevada,36.1662859,-115.149225,613
"Index, Washington",City,Washington,47.8208311,-121.55389140000001,1
Golden Gate Bridge,Natural Attraction,California,37.8176155,-122.478312403719,580
"New Orleans, Louisiana",City,Louisiana,29.949932300000004,-90.0701156,125
"Seven Magic Mountains, Nevada",City,Nevada,35.838291399999996,-115.2708787,2
Monument Valley,Natural Attraction,Arizona,36.9820026,-110.1108327,140
"Chesapeake, Virginia",City,Virginia,36.718370799999995,-76.2466798,3
"SoHo, Manhattan",Neighborhood,New York,40.722879999999996,-73.9987505,36
"San Francisco, California",City,California,37.779280799999995,-122.4192363,1059
"Lake Tahoe, Nevada",City,Texas,29.383643,-98.37785600000001,3
Chicago Riverwalk,Neighborhood,Illinois,41.8858856,-87.6371395,21
Red Canyon National Park,Natural Attraction,Texas,29.3773597,-98.71052370000001,2
"Palm Springs, California",City,California,33.8246269,-116.54030300000001,24
United States Capitol,Place of Interest,District of Columbia,38.88986275,-77.0091083595327,139
"Times Square, New York City",Neighborhood,New York,40.75728055,-73.98585503545921,533
Downtown San Francisco,Neighborhood,California,37.7875138,-122.40715900000001,2
California,State,California,36.7014631,-118.75599740000001,114
National Mall,Place of Interest,District of Columbia,38.8901523,-77.0269337413347,14
"Big Sur, California",City,California,36.270241,-121.80745449999999,86
Rodeo Drive,Place of Interest,California,34.067756599999996,-118.4014841,73
"Broadway, New York",City,New York,40.768597,-73.98199090000001,9
360 CHICAGO,Place of Interest,Missouri,40.249576244898,-94.3384325306123,12
PIER 39,Neighborhood,California,37.8097854,-122.4102658,134
"Davenport, Iowa",City,Iowa,41.5236436,-90.57763680000001,1
"Virginia Beach, Virginia",City,Virginia,36.8529841,-75.9774183,6
Virginia Beach Oceanfront,Natural Attraction,Virginia,36.855895399999994,-75.9767872554397,3
"Sausalito, California",City,California,37.85902720000001,-122.48546940000001,47
Texas State Capitol,Place of Interest,Texas,30.27468705,-97.74040491216792,15
Zion National Park,Natural Attraction,Utah,37.320774,-113.004847586525,172
Lake Powell,Natural Attraction,Utah,37.02773225,-111.310137601379,35
White Sands National Monument,Natural Attraction,New Mexico,32.735023600000005,-106.2468497,15
"Marble Canyon, Arizona",City,Arizona,36.8155432,-111.6376612,10
"Big Water, Utah",City,Utah,37.082316999999996,-111.66401699999999,9
Seven Magic Mountains,Place of Interest,Nevada,35.838291399999996,-115.2708787,34
"Salem, Massachusetts",City,Massachusetts,42.5195292,-70.89672259999999,5
Whitney Museum of American Art,Place of Interest,New York,40.73964505,-74.00892095028979,7
"Golden Gate Bridge, San Francisco, California, Usa",Natural Attraction,California,37.8303213,-122.4797496,14
Baker Beach,Natural Attraction,California,37.7931092,-122.483842191428,21
"Niagara Falls State Park, USA",Natural Attraction,New York,43.08095235,-79.0683018724647,71
"Watkins Glen, New York",City,New York,42.3810555,-76.8705777,3
Pike Place Market,Place of Interest,Washington,47.60939675,-122.34141017674,64
"Santa Monica, California",City,California,34.0250724,-118.4965129,229
"Virginia City, Nevada",City,Nevada,39.3108133,-119.6495173,6
Bryce Canyon National Park,Natural Attraction,Utah,37.570794799999994,-112.18559391121401,130
Brooklyn Bridge,Natural Attraction,New York,40.701042799999996,-73.9903534,438
Navajo Bridge,Natural Attraction,Arizona,36.8175828,-111.6323577,5
"Route 66, Arizona",City,Arizona,35.2109064,-111.523296,1
Universal Studios Hollywood,Neighborhood,California,34.13917485,-118.35430470886001,373
Little Havana,Neighborhood,Florida,25.7681503,-80.2334686,13
Yosemite National Park,Natural Attraction,California,37.84054795,-119.516587798025,402
"Washington, District of Columbia",City,District of Columbia,38.8950092,-77.0365625,424
Lake Tahoe - Nevada,Natural Attraction,Texas,29.383643,-98.37785600000001,6
Newark Liberty International Airport,Travel,New Jersey,40.68906405,-74.17725485035349,18
High Roller Vegas,Place of Interest,Nevada,36.1166497,-115.168217525079,16
Santa Monica Beach,Natural Attraction,Michigan,47.00521079999999,-88.96290959999999,47
